formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C16H7BrClF9O8	[M + Na]+	C16H7BrClF9NaO8+	0.790	0.781	16.491	16.491	0.000	18	0.806	-1.365	1.376	0.777		634.877	30	0.507	836967966425605279	836967450656212211	836967450656212210	27	
1	C15H11BrClF9N2O7S2	[M + Na]+	C15H11BrClF9N2NaO7S2+	0.779	0.871	14.633	14.633	0.000	18	0.807	0.409	0.777	1.775		702.864	30	0.507	836968305564451000	836967450601686255	836967450601686254	26	
1	C24H12BrCl2F9O4S2	[M + Na]+	C24H12BrCl2F9NaO4S2+	0.543	0.069	12.031	12.031	0.000	19	0.800	1.403	2.883	3.849		770.852	30	0.507	836968681130824495	836967450832372991	836967450832372990	30	
1	C20H16Br3F9N4O6	[M + Na]+	C20H16Br3F9N4NaO6+	0.514	0.264	13.699	13.699	0.000	32	0.855	1.335	2.777	2.450		838.839	30	0.508	836968553649147257	836967450710738167	836967450710738166	28	
1	C5H4N2O13P2	[M + H]+	C5H5N2O13P2+	0.357	0.078	5.657	0.429	5.228	1	0.217	3.220	3.220	0.502		362.926	30	0.508	836967646312114570	836967451172111635	836967451172111634	35	
1	C6H10O4P2S2	[M + Na]+	C6H10NaO4P2S2+	0.697	0.093	16.229	16.229	0.000	5	0.779	0.753	0.753	0.475		294.939	31	0.509	836967640381368342	836967451226637591	836967451222443286	36	
1	C3H5O2PS	[M + Na]+	C3H5NaO2PS+	0.999	0.953	5.685	5.685	0.000	1	0.945	3.413	3.413	0.643		158.964	31	0.509	836967634505147980	836967451381826851	836967451377632546	39	
1	C14H8BrClF2O4S	[M + Na]+	C14H8BrClF2NaO4S+	0.535	0.003	20.776	20.776	0.000	14	0.603	-2.116	2.116	0.533		446.888	31	0.511	836967686074119644	836967451276969243	836967451276969242	37	
1	C3H8O3S4	[M + Na]+	C3H8NaO3S4+	0.521	0.455	3.216	3.216	0.000	1	0.042	3.445	3.445	2.434		242.925	31	0.514	836967649512368770	836967451499267371	836967451495073066	41	
1	C7H8BrClF2O7	[M + Na]+	C7H8BrClF2NaO7+	0.998	0.896	27.567	27.567	0.000	13	0.621	-0.899	0.899	0.120		378.900	31	0.514	836967695951706014	836967451327300895	836967451327300894	38	
1	C5H10N3O7PS	[M - H2O + H]+	C5H9N3O6PS+	0.936	0.001	22.303	22.303	0.000	9	0.191	-4.118	4.118	-66709.738		269.994	31	0.524	836967647570405892	836967451595736371	836967451595736370	43	
1	C7H9BrCl2F4O5	[M + Na]+	C7H9BrCl2F4NaO5+	0.800	0.155	41.030	41.030	0.000	20	0.578	1.499	2.765	2.912		420.885	32	0.525	836967722749116391	836967451545404719	836967451545404718	42	
