cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:1F12	ATTRIBUTE_group:GNPSGROUP:Control_LB	ATTRIBUTE_group:GNPSGROUP:phzC	ATTRIBUTE_group:GNPSGROUP:pvdE	ATTRIBUTE_group:GNPSGROUP:R47	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:1.0	ATTRIBUTE_replicate:GNPSGROUP:2.0	ATTRIBUTE_replicate:GNPSGROUP:3.0	ATTRIBUTE_replicate:GNPSGROUP:4.0
506	223.62541720590224	1.5728705	0	20856696.75	41953090.0	28007881.0	28499413.5	27516317.0	0	24823438.25	26013389.0	26310135.5	27733345.5
507	375.2061712256085	1.5732596	0	8126093.0	14525840.0	11476616.75	11194164.5	10737494.75	0	9566143.125	10282328.125	10615107.25	11070790.5
508	320.181743382078	1.5736488	0	37900758.0	39986812.0	55676423.0	56680153.5	53433566.0	0	49072235.5	50900621.0	49445538.0	54272506.0
509	388.1956889975594	1.5744257	0	5429623.25	12806095.0	9006119.75	9813236.75	8670183.0	0	7875073.5	8281610.0	8029523.625	8732955.625
510	318.20247480195764	1.5755954	0	9769264.125	23710184.0	17340458.5	16905046.0	15875138.75	0	14273223.875	14951051.0	14679590.25	15986042.25
511	183.610661908206	1.5759879	0	157701167.5	402456160.0	289362087.5	281323675.0	265142350.0	0	236447352.5	243400527.5	251466477.5	262214922.5
512	366.2138252049177	1.575987	0	149856067.5	397117700.0	261111242.5	261197962.5	242493770.0	0	210504070.0	231726037.5	232600450.0	239828485.0
513	254.1330912686853	1.5775489	0	11414057.25	28610442.0	20686953.0	20344831.0	18544273.0	0	16639567.75	17548648.25	18241048.5	18560849.75
514	253.1297303257148	1.5763782	0	92164836.0	224868880.0	172182662.5	166968285.0	150896452.5	0	135158257.5	144275865.0	151627318.5	151150795.0
515	251.1505773520519	1.576769	0	18842845.25	40529412.0	30797567.5	30012239.0	28335799.0	0	25368437.75	27130462.5	27796930.0	27692620.5
516	490.2146792486825	1.5771481	0	12355335.0	13196082.0	11963730.5	11737687.5	11777825.5	0	11520668.5	12471349.5	11322992.5	12519568.0
517	235.1191124198279	1.5771573	0	19993677.5	36816548.0	29215259.0	29020941.5	27381827.5	0	25198385.0	26915130.5	26722714.5	26775475.5
518	397.21967978106665	1.583039	0	62595349.0	29897584.0	78414231.5	84545285.0	80031797.5	0	71871225.0	78321895.0	78610108.0	76783435.0
519	199.11351625422907	1.5830383	0	62971918.0	21008476.0	84652875.0	85189099.0	79401904.0	0	75819465.0	77414373.0	76614925.5	82367032.5
520	227.11394836466903	1.5834597	0	18137560.75	6067038.5	24427405.5	25167994.0	22462997.0	0	21221736.75	22714755.5	22868495.0	23390970.0
521	340.1981250536791	1.5834597	0	27753760.5	9366643.0	36027374.5	38563604.0	34289531.5	0	31907405.0	34476151.5	35093411.5	35157302.5
522	323.665174146235	1.5964504	0	54636353.0	78590130.0	9199824.625	9708170.375	11581425.0	0	20170900.25	21729900.375	23534236.5	19690735.875
523	646.3238051705277	1.5960575	0	25348195.5	35639930.0	3648577.9	4562160.625	5689563.0	0	9043979.325	10677612.0	11207356.875	8319548.825
524	348.1768016175905	1.5956789	0	14204751.5	16498400.0	22969915.0	23282917.0	22469308.0	0	19400146.0	20151798.25	22761001.5	20613945.75
